Date,Open,High,Low,Close,Adj Close,Volume
2020-08-01,0.0,0.0,0.0,0.0,0.0,1604789.0
2020-08-02,0.0,0.0,0.0,0.0,0.0,193098.0
2020-08-03,0.0,0.0,0.0,0.0,0.0,129225.0
2020-08-04,0.0,0.0,0.0,0.0,0.0,19717.0
2020-08-05,0.0,0.0,0.0,0.0,0.0,26869.0
2020-08-06,0.0,0.0,0.0,0.0,0.0,8708.0
2020-08-07,0.0,0.0,0.0,0.0,0.0,17529.0
2020-08-08,0.0,0.0,0.0,0.0,0.0,13773.0
2020-08-09,0.0,0.0,0.0,0.0,0.0,5190.0
2020-08-10,0.0,0.0,0.0,0.0,0.0,6105.0
2020-08-11,0.0,0.0,0.0,0.0,0.0,2896.0
2020-08-12,0.0,0.0,0.0,0.0,0.0,1868.0
2020-08-13,0.0,0.0,0.0,0.0,0.0,1723.0
2020-08-14,0.0,0.0,0.0,0.0,0.0,3567.0
2020-08-15,0.0,0.0,0.0,0.0,0.0,1479.0
2020-08-16,0.0,0.0,0.0,0.0,0.0,506.0
2020-08-17,0.0,0.0,0.0,0.0,0.0,543.0
2020-08-18,0.0,0.0,0.0,0.0,0.0,153.0
2020-08-19,0.0,0.0,0.0,0.0,0.0,3411.0
2020-08-20,0.0,0.0,0.0,0.0,0.0,2058.0
2020-08-21,0.0,0.0,0.0,0.0,0.0,4894.0
2020-08-22,0.0,0.0,0.0,0.0,0.0,8019.0
2020-08-23,0.0,0.0,0.0,0.0,0.0,763.0
2020-08-24,0.0,0.0,0.0,0.0,0.0,32.0
2020-08-25,0.0,0.0,0.0,0.0,0.0,377.0
2020-08-26,0.0,0.0,0.0,0.0,0.0,595.0
2020-08-27,0.0,0.0,0.0,0.0,0.0,2404.0
2020-08-28,0.0,0.0,0.0,0.0,0.0,7426.0
2020-08-29,0.0,0.0,0.0,0.0,0.0,4191.0
2020-08-30,0.0,0.0,0.0,0.0,0.0,40609.0
2020-08-31,0.0,0.0,0.0,0.0,0.0,6653.0
2020-09-01,0.0,0.0,0.0,0.0,0.0,16378.0
